,store_name,address,zip,new_status,last_updated,location
53,Target,6422 N Sheridan Rd Unit A,60626-5336,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.660677, 41.998785]}"
54,Jewel - Osco,370 N Desplaines St,60661-1106,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.644337, 41.888757]}"
55,Walmart,2844 N Broadway St,60657-6017,CLOSED,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.644278, 41.934267000000006]}"
56,Trader Joe's,3745 N LINCOLN AVE,60613,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.675803, 41.949969]}"
57,Cermak Produce,3435 S Archer,60608,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.676229, 41.831333]}"
58,Aldi,7345 S State St,60619-1622,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.624864, 41.760589]}"
59,Target,1 S State St,60603-2802,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.62773100000001, 41.881754]}"
60,Fresh Marketplace,2600 N Central Ave,60639,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.766131, 41.928447]}"
61,Mario's Butcher Shop,5817 W Madison St,60644,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.770457, 41.880104]}"
62,Super Mercado Roman,6978 N CLARK ST,60626,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.673898, 42.008677]}"
63,County Fair Foods,10800 S Western Avenue,60643,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.6814, 41.69714900000001]}"
64,Aldi,7627 S Ashland Ave,60620-4248,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.663497, 41.75482]}"
65,Aldi,2333 E 95th St,60617-4806,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.566623, 41.722569]}"
66,Save A Lot,344 E 63rd St,60637,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.616756, 41.780225]}"
67,Costco,2746 N Clybourn Ave,60614-1006,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.676224, 41.930664]}"
68,Jewel - Osco,5516 N Clark St,60640-1214,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.668645, 41.982857]}"
69,Farmer's Best Market,6420 W FULLERTON AVE,60707,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.790105, 41.923654]}"
70,Bockwinkel's at McClurg,320 E Ohio,60601,OPEN,,"{'type': 'Point', 'coordinates': [-87.619678, 41.892621]}"
71,Food Town,935 E 79TH ST,60619,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.601174, 41.751322]}"
72,Mariano's Fresh Market,1500 N Clybourn Ave. #C104,60610,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.646261, 41.908623]}"
73,Supermercado El Guero,1701 W 47th Street,60609,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.667504, 41.808611]}"
74,Save A Lot,4439 W 63rd St,60629,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.734011, 41.778509]}"
75,Pete's Fresh Market,2526 W Cermak Rd.,60608,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.689379, 41.852011]}"
76,Cermak Produce,5220 S Pulaski,60632,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.723369, 41.797972]}"
77,Jewel - Osco,1341 N Paulina St,60622-2145,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.670004, 41.906389]}"
78,Mariano's Fresh Market,3857 S Dr. Martin Luther King Jr. Dr.,60653,OPEN,2020-06-05T13:21:00.000,
79,Tony's Finer Foods,4608 W. Belmont Avenue,60641,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.742133, 41.938918]}"
80,Bockwinkel's Fresh Express,155 N Harbor Drive,60601,OPEN,,"{'type': 'Point', 'coordinates': [-87.615743, 41.88494]}"
81,Target,2939 W Addison St,60618-4635,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.701338, 41.94667]}"
82,Cermak Produce,6623 Damen Ave,60645,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.680301, 42.002765]}"
83,Whole Foods Market,832 W 63rd St,60621-1902,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.646252, 41.779755]}"
84,Mariano's Fresh Market,5353 N Elston,60630,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.757473, 41.978765]}"
85,Aldi,2431 W Montrose Ave,60618-1605,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.689822, 41.961329]}"
86,Aldi,3030 S Kedzie Ave,60623-4713,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.704836, 41.838177]}"
87,Gordon Food Service Store,6431 W FULLERTON AVE,60707,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.786653, 41.923634]}"
88,Cermak Produce,4401 W ARMITAGE AVE,60639,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.737017, 41.91706]}"
89,Target,1101 W Jackson Blvd,60607-2905,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.654886, 41.877858]}"
90,Whole Foods Market,5118 S Lake Park Ave,60615-4115,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.587718, 41.80173500000001]}"
91,Supermercado El Guero,2101 W Cermak Rd,60608,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.678526, 41.852157]}"
92,Aldi,4645 W Diversey Ave,60639-1828,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.743743, 41.931592]}"
